date,sku,price
25/06/2012,LD02589837,538098
25/06/2012,LD02613752,46317
25/06/2012,LD02616585,88594
25/06/2012,LD02592773,118839
25/06/2012,LD02589566,129982
25/06/2012,LD02628900,146742
25/06/2012,LD02617816,110416
25/06/2012,LD02593056,211323
25/06/2012,LD02610689,28199
25/06/2012,LD02633254,55858
25/06/2012,LD02616766,33475
25/06/2012,LD02624278,73498
25/06/2012,LD02609324,96450
25/06/2012,LD02624581,29070
25/06/2012,LD02626957,71996
25/06/2012,LD02633583,21779
25/06/2012,LD02615558,35306
25/06/2012,LD02622292,48541
25/06/2012,LD02587691,24316
25/06/2012,LD02599403,35150
25/06/2012,LD02618918,22406
25/06/2012,LD02604526,23665
25/06/2012,LD02595070,20622
25/06/2012,LD02588379,19807
25/06/2012,LD02632846,25179
25/06/2012,LD02589208,30485
25/06/2012,LD02625480,34621
25/06/2012,LD02587524,15723
25/06/2012,LD02630161,17179
25/06/2012,LD02634207,18130
25/06/2012,LD02586884,20159
25/06/2012,LD02612731,22271
25/06/2012,LD02606561,22859
25/06/2012,LD02633235,23578
25/06/2012,LD02586883,24730
25/06/2012,LD02626327,25207
25/06/2012,LD02603350,27374
25/06/2012,LD02629123,14637
25/06/2012,LD02607968,18299
25/06/2012,LD02614096,11716
25/06/2012,LD02611030,13280
25/06/2012,LD02637581,14630
25/06/2012,LD02589245,17798
25/06/2012,LD02592937,14885
25/06/2012,LD02621340,22412
25/06/2012,LD02597053,24173
25/06/2012,LD02630694,11579
25/06/2012,LD02635059,22358
25/06/2012,LD02599715,30672
25/06/2012,LD02612279,11234
25/06/2012,LD02608122,30116
25/06/2012,LD02623983,25882
25/06/2012,LD02608876,15525
25/06/2012,LD02615298,16184
25/06/2012,LD02626988,16830
25/06/2012,LD02587616,11308
25/06/2012,LD02601330,18374
25/06/2012,LD02609354,13057
25/06/2012,LD02635519,9642
25/06/2012,LD02588378,23143
25/06/2012,LD02632919,11103
25/06/2012,LD02598577,24091
25/06/2012,LD02603362,10863
25/06/2012,LD02600901,21688
25/06/2012,LD02588356,8613
25/06/2012,LD02616611,12054
25/06/2012,LD02595050,13355
25/06/2012,LD02608128,16774
25/06/2012,LD02635494,18075
25/06/2012,LD02601806,20337
25/06/2012,LD02621337,22076
25/06/2012,LD02628666,8400
25/06/2012,LD02616105,9345
25/06/2012,LD02592887,10804
25/06/2012,LD02636874,12494
25/06/2012,LD02588559,13250
25/06/2012,LD02589635,14246
25/06/2012,LD02607982,16630
25/06/2012,LD02589721,24970
25/06/2012,LD02606534,10088
25/06/2012,LD02621622,17272
25/06/2012,LD02604456,23726
25/06/2012,LD02625315,15792
25/06/2012,LD02628645,9305
25/06/2012,LD02618648,8541
25/06/2012,LD02604502,8976
25/06/2012,LD02599082,26955
25/06/2012,LD02632944,7824
25/06/2012,LD02609410,13239
25/06/2012,LD02616661,6635
25/06/2012,LD02630097,11406
25/06/2012,LD02624481,17083
25/06/2012,LD02628479,5406
25/06/2012,LD02601205,9525
25/06/2012,LD02623195,9659
25/06/2012,LD02602812,20694
25/06/2012,LD02598714,21974
25/06/2012,LD02601893,25724
25/06/2012,LD02623735,9174
25/06/2012,LD02630803,13747
25/06/2012,LD01181046,6845
25/06/2012,LD02587406,12202
25/06/2012,LD02639173,9955
25/06/2012,LD02608222,9241
25/06/2012,LD02587560,7264
25/06/2012,LD02594085,10502
25/06/2012,LD02611109,15342
25/06/2012,LD02608191,8849
25/06/2012,LD02595330,9321
25/06/2012,LD02616605,11359
25/06/2012,LD02608536,13182
25/06/2012,LD02632917,22147
25/06/2012,LD02622435,6223
25/06/2012,LD02609038,6610
25/06/2012,LD02626087,7267
25/06/2012,LD02608495,7709
25/06/2012,LD02625358,8000
25/06/2012,LD02603043,10494
25/06/2012,LD02597750,20452
25/06/2012,LD02614113,6849
25/06/2012,LD02588601,8147
25/06/2012,LD02623737,8380
25/06/2012,LD02610612,9096
25/06/2012,LD02629541,10242
25/06/2012,LD02630917,12023
25/06/2012,LD02607620,12632
25/06/2012,LD02601971,13295
25/06/2012,LD02608793,14581
25/06/2012,LD02608130,9118
25/06/2012,LD02628624,6839
25/06/2012,LD02625992,8525
25/06/2012,LD02634391,5384
25/06/2012,LD02632791,6965
25/06/2012,LD02600367,7098
25/06/2012,LD02634343,7121
25/06/2012,LD02630082,9007
25/06/2012,LD02601538,15564
25/06/2012,LD02624489,16738
25/06/2012,LD02616654,6287
25/06/2012,LD02605666,7888
25/06/2012,LD02605371,5517
25/06/2012,LD02617726,11053
25/06/2012,LD02621954,19095
25/06/2012,LD02608008,19772
25/06/2012,LD02639134,22613
25/06/2012,LD02597459,8819
25/06/2012,LD02611874,9170
25/06/2012,LD02608074,8247
25/06/2012,LD02622115,7300
25/06/2012,LD02618681,11956
25/06/2012,LD02626692,6776
25/06/2012,LD02608614,8849
25/06/2012,LD02615658,13313
25/06/2012,LD02603191,7157
25/06/2012,LD02606540,5877
25/06/2012,LD02616167,4095
25/06/2012,LD02588570,6353
25/06/2012,LD02634995,7298
25/06/2012,LD02603190,8162
25/06/2012,LD02615729,4552
25/06/2012,LD02466755,5601
25/06/2012,LD02626009,5737
25/06/2012,LD02609109,6308
25/06/2012,LD02629655,9521
25/06/2012,LD02615441,12002
25/06/2012,LD02588938,12537
25/06/2012,LD02610934,14085
25/06/2012,LD02616679,3276
25/06/2012,LD02629220,3743
25/06/2012,LD02628480,3825
25/06/2012,LD02638053,4061
25/06/2012,LD02591058,4787
25/06/2012,LD02619769,4849
25/06/2012,LD02610570,5237
25/06/2012,LD02618652,5391
25/06/2012,LD02624405,5591
25/06/2012,LD02621061,5621
25/06/2012,LD02633503,5703
25/06/2012,LD02630710,5978
25/06/2012,LD02637580,7117
25/06/2012,LD02618716,7162
25/06/2012,LD02626757,7747
25/06/2012,LD02631632,8025
25/06/2012,LD02630738,8856
25/06/2012,LD02633820,10295
25/06/2012,LD02634956,2779
25/06/2012,LD02608109,3507
25/06/2012,LD02601119,3763
25/06/2012,LD02621400,3778
25/06/2012,LD02635486,4436
25/06/2012,LD02616047,4470
25/06/2012,LD02631162,4532
25/06/2012,LD02635857,4590
25/06/2012,LD02624435,4599
25/06/2012,LD02610462,4654
25/06/2012,LD02573706,4938
25/06/2012,LD02589158,5039
25/06/2012,LD02630843,5234
25/06/2012,LD02630771,5564
25/06/2012,LD02629665,5848
25/06/2012,LD02610458,5862
25/06/2012,LD02607941,5872
25/06/2012,LD02635497,5967
25/06/2012,LD02624528,6207
25/06/2012,LD02623999,6298
25/06/2012,LD02631160,6526
25/06/2012,LD02613556,6650
25/06/2012,LD02630734,6670
25/06/2012,LD02592771,6754
25/06/2012,LD02630116,7240
25/06/2012,LD02630088,7305
25/06/2012,LD02623553,7348
25/06/2012,LD02623732,7536
25/06/2012,LD02623979,7695
25/06/2012,LD02613795,7798
25/06/2012,LD02637366,8007
25/06/2012,LD02626173,8234
25/06/2012,LD02631249,8271
25/06/2012,LD02599608,8469
25/06/2012,LD02608399,8512
25/06/2012,LD02593045,9270
25/06/2012,LD02630965,9729
25/06/2012,LD02594062,10183
25/06/2012,LD02591130,10601
25/06/2012,LD02630268,11261
25/06/2012,LD02630182,11308
25/06/2012,LD02626184,11726
25/06/2012,LD02632819,14127
25/06/2012,LD02612441,14541
25/06/2012,LD02634304,3436
25/06/2012,LD02626077,3657
25/06/2012,LD02610372,3700
25/06/2012,LD02609460,4112
25/06/2012,LD02628614,4137
25/06/2012,LD02619765,4324
25/06/2012,LD02617708,4434
25/06/2012,LD02603932,5066
25/06/2012,LD02617604,5093
25/06/2012,LD02623448,5269
25/06/2012,LD02588895,5361
25/06/2012,LD02637238,5669
25/06/2012,LD02626310,5944
25/06/2012,LD02600099,6034
25/06/2012,LD02626158,6589
25/06/2012,LD02626333,6594
25/06/2012,LD02608156,6820
25/06/2012,LD02639034,6873
25/06/2012,LD02592902,7607
25/06/2012,LD02631287,7811
25/06/2012,LD02592899,8079
25/06/2012,LD02630973,8832
25/06/2012,LD02623552,9203
25/06/2012,LD02630867,9936
25/06/2012,LD02630904,9936
25/06/2012,LD02598386,11007
25/06/2012,LD02599667,11408
25/06/2012,LD02604045,13679
25/06/2012,LD02630818,14411
25/06/2012,LD02635121,6510
25/06/2012,LD02621036,4287
25/06/2012,LD02600018,3941
25/06/2012,LD02598007,4466
25/06/2012,LD02623439,3023
25/06/2012,LD02598913,3039
25/06/2012,LD02623323,3311
25/06/2012,LD02601937,5086
25/06/2012,LD02624497,7095
25/06/2012,LD02601078,7534
25/06/2012,LD02632161,2910
25/06/2012,LD02633626,3275
25/06/2012,LD02607626,3312
25/06/2012,LD02602907,3332
25/06/2012,LD02618601,3503
25/06/2012,LD02588711,3512
25/06/2012,LD02594261,3747
25/06/2012,LD02629233,3808
25/06/2012,LD02617982,3830
25/06/2012,LD02617589,3892
25/06/2012,LD02613896,4147
25/06/2012,LD02638547,4316
25/06/2012,LD02611867,4582
25/06/2012,LD02632410,4732
25/06/2012,LD02589711,4811
25/06/2012,LD02609273,4826
25/06/2012,LD02597336,4827
25/06/2012,LD02601028,4827
25/06/2012,LD02593227,4911
25/06/2012,LD02631630,4929
25/06/2012,LD02631639,5055
25/06/2012,LD02638646,5156
25/06/2012,LD02629296,5211
25/06/2012,LD02623414,5448
25/06/2012,LD02593283,6452
25/06/2012,LD02638054,6637
25/06/2012,LD02611023,6977
25/06/2012,LD02618565,7350
25/06/2012,LD02604458,8992
25/06/2012,LD02607595,9280
25/06/2012,LD02619352,3839
25/06/2012,LD02601949,10751
25/06/2012,LD02591099,2310
25/06/2012,LD02600398,3435
25/06/2012,LD02638897,4197
25/06/2012,LD02595680,5121
25/06/2012,LD02636434,5172
25/06/2012,LD02624726,5749
25/06/2012,LD02627636,3272
25/06/2012,LD02588820,3978
25/06/2012,LD02591279,5820
25/06/2012,LD02588811,2777
25/06/2012,LD02618853,2927
25/06/2012,LD02612499,2982
25/06/2012,LD02635220,3033
25/06/2012,LD02595834,3067
25/06/2012,LD02618930,3131
25/06/2012,LD02621305,3196
25/06/2012,LD02603630,3281
25/06/2012,LD02624320,3299
25/06/2012,LD02631914,3838
25/06/2012,LD02618876,3875
25/06/2012,LD02589151,4171
25/06/2012,LD02601453,4244
25/06/2012,LD02627297,4387
25/06/2012,LD02635239,4437
25/06/2012,LD02599529,4571
25/06/2012,LD02597572,4611
25/06/2012,LD02635159,4894
25/06/2012,LD02604855,4971
25/06/2012,LD02591559,5101
25/06/2012,LD02598459,5201
25/06/2012,LD02602853,5672
25/06/2012,LD02599058,5843
25/06/2012,LD02635176,6026
25/06/2012,LD02593093,6132
25/06/2012,LD02606021,6190
25/06/2012,LD02580600,6629
25/06/2012,LD02600764,6829
25/06/2012,LD02633612,2692
25/06/2012,LD02637984,3718
25/06/2012,LD02571547,6783
25/06/2012,LD02588025,8790
25/06/2012,LD02595366,10037
25/06/2012,LD02635629,1379
25/06/2012,LD02639220,1956
25/06/2012,LD02621387,1994
25/06/2012,LD02637716,2063
25/06/2012,LD02637568,2394
25/06/2012,LD02589221,2436
25/06/2012,LD02621017,3079
25/06/2012,LD02578568,3263
25/06/2012,LD02638355,3743
25/06/2012,LD02621004,4175
25/06/2012,LD02629424,2826
25/06/2012,LD02604572,2963
25/06/2012,LD02637712,4124
25/06/2012,LD02632192,4370
25/06/2012,LD02637317,1424
25/06/2012,LD02637520,2087
25/06/2012,LD02637838,2116
25/06/2012,LD02608201,2660
25/06/2012,LD02637721,2749
25/06/2012,LD02615547,2786
25/06/2012,LD02621324,2888
25/06/2012,LD02621822,3057
25/06/2012,LD02591797,3186
25/06/2012,LD02635099,4596
25/06/2012,LD02622750,2133
25/06/2012,LD02623664,2285
25/06/2012,LD02635134,2346
25/06/2012,LD02638277,2363
25/06/2012,LD02638721,2527
25/06/2012,LD02624321,2568
25/06/2012,LD02617890,2713
25/06/2012,LD02635579,2998
25/06/2012,LD02615349,3115
25/06/2012,LD02633746,3350
25/06/2012,LD02618228,3394
25/06/2012,LD02632991,3446
25/06/2012,LD02632450,3670
25/06/2012,LD02623903,4069
25/06/2012,LD02602218,4700
25/06/2012,LD02638026,1921
25/06/2012,LD02618307,1974
25/06/2012,LD02602068,2030
25/06/2012,LD02615345,2231
25/06/2012,LD02619050,2306
25/06/2012,LD02618848,2385
25/06/2012,LD02611663,2392
25/06/2012,LD02629415,2599
25/06/2012,LD02631462,2696
25/06/2012,LD02602404,2771
25/06/2012,LD02595810,2934
25/06/2012,LD02595740,2943
25/06/2012,LD02632285,3102
25/06/2012,LD02633400,3261
25/06/2012,LD02601326,3317
25/06/2012,LD02603996,3356
25/06/2012,LD02588116,3514
25/06/2012,LD02595961,3704
25/06/2012,LD02619065,3773
25/06/2012,LD02603776,3870
25/06/2012,LD02610792,4630
25/06/2012,LD02607369,4788
25/06/2012,LD02611922,1726
25/06/2012,LD02604850,1942
25/06/2012,LD02600126,1973
25/06/2012,LD02633363,1999
25/06/2012,LD02636025,2102
25/06/2012,LD02605520,2126
25/06/2012,LD02595769,2165
25/06/2012,LD02601996,2186
25/06/2012,LD02638731,2218
25/06/2012,LD02638380,2304
25/06/2012,LD02631474,2382
25/06/2012,LD02622594,2426
25/06/2012,LD02602670,2441
25/06/2012,LD02605699,2517
25/06/2012,LD02592443,2520
25/06/2012,LD02603471,2587
25/06/2012,LD02599612,2607
25/06/2012,LD02593542,2629
25/06/2012,LD02611855,2645
25/06/2012,LD02600244,2655
25/06/2012,LD02615375,2746
25/06/2012,LD02599832,2780
25/06/2012,LD02604165,2786
25/06/2012,LD02611032,2811
25/06/2012,LD02638848,2849
25/06/2012,LD02605015,2887
25/06/2012,LD02604419,2907
25/06/2012,LD02587394,2981
25/06/2012,LD02635280,3002
25/06/2012,LD02587768,3084
25/06/2012,LD02605056,3106
25/06/2012,LD02606150,3106
25/06/2012,LD02635180,3133
25/06/2012,LD02596118,3135
25/06/2012,LD02635223,3137
25/06/2012,LD02599429,3138
25/06/2012,LD02638761,3227
25/06/2012,LD02601689,3326
25/06/2012,LD02621001,3339
25/06/2012,LD02638273,3361
25/06/2012,LD02587621,3496
25/06/2012,LD02605710,3515
25/06/2012,LD02602741,3564
25/06/2012,LD02604189,3613
25/06/2012,LD02589730,3807
25/06/2012,LD02600351,3833
25/06/2012,LD02604101,3879
25/06/2012,LD02636974,3985
25/06/2012,LD02589072,4104
25/06/2012,LD02638498,4251
25/06/2012,LD02624697,4537
25/06/2012,LD02589062,4549
25/06/2012,LD02638362,4640
25/06/2012,LD02598844,4742
25/06/2012,LD02637112,4866
25/06/2012,LD02606191,5051
25/06/2012,LD02610668,3199
25/06/2012,LD02587958,3497
25/06/2012,LD02622736,2071
25/06/2012,LD02622780,2298
25/06/2012,LD02611968,1994
25/06/2012,LD02599698,3164
25/06/2012,LD02638268,3378
25/06/2012,LD02583767,2549
25/06/2012,LD02633208,3084
25/06/2012,LD02596917,3153
25/06/2012,LD02602207,2539
25/06/2012,LD02614424,2770
25/06/2012,LD02629983,3037
25/06/2012,LD02612935,3245
25/06/2012,LD02621027,3506
25/06/2012,LD02630633,4217
25/06/2012,LD02633553,1427
25/06/2012,LD02622089,1898
25/06/2012,LD02597451,2078
25/06/2012,LD02616894,2084
25/06/2012,LD02628448,2113
25/06/2012,LD02593470,2533
25/06/2012,LD02597295,2577
25/06/2012,LD02618290,2669
25/06/2012,LD02583923,2744
