sku,fetch_date,price,carat,cut,color,clarity,depth,tableth,girdle,symmetry,polish,culet,fluorescence,length,width,height,lnwdthratio,shape,pricePerCarat,certLab,certPresent
LD02753346,28/08/2012,761,0.31,Good,E,VS1,59,66,Slightly Thick to Thick,Good,Very Good,None,None,7.13,3.58,2.11,1.99,MQ,2455,GIA,"true"
LD02736042,16/08/2012,6100,1.02,Very Good,H,SI1,61.2,59,Thin to Thick,Excellent,Excellent,None,None,6.49,6.44,3.95,1.01,RD,5980,GIA,"true"
LD02746523,23/08/2012,4645,0.76,Ideal,G,IF,61.5,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.87,5.83,3.6,1.01,RD,6112,GIA,"true"
LD02760135,29/08/2012,485,0.3,Very Good,F,VS2,60.2,57,Medium to Slightly Thick,Excellent,Excellent,None,None,4.35,4.36,2.62,1,RD,1617,GIA,"true"
LD02674653,12/07/2012,1495,0.52,Signature Ideal,H,VS1,70.8,72,Medium to Slightly Thick,Excellent,Very Good,None,None,4.57,4.47,3.17,1.02,PR,2875,GIA,"true"
LD02706089,29/07/2012,1430,0.61,Ideal,I,SI1,61.4,57,Medium to Slightly Thick,Excellent,Very Good,None,None,5.47,5.45,3.35,1,RD,2344,GIA,"true"
LD02759588,28/08/2012,1959,0.55,Ideal,F,VS2,62.7,55,Medium to Medium,Excellent,Excellent,None,None,5.27,5.24,3.3,1.01,RD,3562,GIA,"true"
LD02700934,26/07/2012,621,0.26,Ideal,G,VVS1,61.7,56,Medium to Medium,Excellent,Excellent,None,None,4.15,4.13,2.55,1,RD,2388,GIA,"true"
LD02666121,05/07/2012,1282,0.4,Ideal,D,VS1,62.3,55,Medium to Slightly Thick,Excellent,Excellent,None,None,4.72,4.7,2.94,1,RD,3205,GIA,"true"
LD02700844,26/07/2012,1037,0.3,Ideal,D,VVS1,62.4,54,Thin to Slightly Thick,Very Good,Excellent,None,None,4.32,4.3,2.69,1,RD,3457,GIA,"true"
LD02676744,11/07/2012,838,0.41,Very Good,H,VS2,63.6,58,Slightly Thick to Slightly Thick,Excellent,Excellent,None,None,4.65,4.69,2.97,1.01,RD,2044,GIA,"true"
LD02661848,01/07/2012,5568,1.01,Very Good,E,SI2,60.9,60,Slightly Thick to Thick,Excellent,Excellent,None,Medium,6.42,6.41,3.91,1,RD,5513,GIA,"true"
LD02651514,11/07/2012,1242,0.4,Very Good,D,VVS2,64.3,56,Slightly Thick to Thick,Very Good,Very Good,None,None,4.62,4.65,2.98,1.01,RD,3105,GIA,"true"
LD02765730,31/08/2012,4597,0.9,Ideal,H,VS2,60.6,58,Slightly Thick to Slightly Thick,Very Good,Excellent,None,Faint,6.21,6.24,3.77,1,RD,5108,GIA,"true"
LD02619175,26/07/2012,411,0.3,Very Good,I,VVS2,63.1,57,Thin to Slightly Thick,Very Good,Excellent,None,None,4.26,4.25,2.69,1,RD,1370,GIA,"true"
LD02692354,19/07/2012,1543,0.52,Ideal,I,VS1,62.2,56,Medium to Slightly Thick,Excellent,Excellent,None,Faint,5.17,5.14,3.21,1.01,RD,2967,GIA,"true"
LD02745893,23/08/2012,1882,0.59,Ideal,J,IF,62.1,57,Thin to Medium,Excellent,Excellent,Pointed,None,5.39,5.37,3.34,1,RD,3190,GIA,"true"
LD02753438,28/08/2012,2186,0.5,Ideal,E,VS1,62.5,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.03,5.07,3.16,1.01,RD,4372,GIA,"true"
LD02676779,11/07/2012,2068,0.5,Very Good,H,VVS2,64.4,57,Slightly Thick to Thick,Excellent,Excellent,None,Faint,4.95,4.99,3.2,1.01,RD,4136,GIA,"true"
LD02725946,10/08/2012,670,0.3,Ideal,E,VS2,61.6,56,Medium to Slightly Thick,Excellent,Excellent,None,None,4.3,4.33,2.66,1.01,RD,2233,GIA,"true"
LD02684755,17/07/2012,1472,0.52,Good,E,VVS1,66.5,74,Medium to Slightly Thick,Very Good,Very Good,None,None,5.62,4.03,2.68,1.39,EC,2831,GIA,"true"
LD02660963,01/07/2012,1211,0.45,Ideal,E,VS2,62.4,56,Medium to Slightly Thick,Very Good,Very Good,None,None,4.9,4.88,3.05,1,RD,2691,GIA,"true"
LD02763711,30/08/2012,1546,0.52,Ideal,F,SI1,62,59,Medium to Slightly Thick,Excellent,Excellent,None,None,5.17,5.15,3.2,1,RD,2973,GIA,"true"
LD02689299,18/07/2012,8416,1.01,Ideal,F,VS1,60.3,59,Medium to Slightly Thick,Excellent,Excellent,None,Medium Blue,6.51,6.47,3.92,1.01,RD,8333,GIA,"true"
LD02749085,24/08/2012,14834,1.21,Ideal,G,VVS1,61.1,60,Medium to Slightly Thick,Excellent,Excellent,None,None,6.85,6.88,4.19,1,RD,12260,GIA,"true"
LD02639902,01/07/2012,861,0.31,Ideal,E,VVS1,59.6,62,Medium to Slightly Thick,Excellent,Excellent,Pointed,None,4.42,4.4,2.63,1,RD,2777,GIA,"true"
LD02735798,16/08/2012,11338,1.6,Ideal,F,SI2,62.1,55,Thin to Medium,Excellent,Excellent,None,None,7.54,7.52,4.68,1,RD,7086,GIA,"true"
LD02685423,17/07/2012,1071,0.42,Ideal,G,VVS2,62.1,56,Medium to Slightly Thick,Excellent,Excellent,None,None,4.8,4.81,2.99,1,RD,2550,GIA,"true"
LD02666134,05/07/2012,1328,0.6,Ideal,J,SI1,61.2,58,Medium to Slightly Thick,Excellent,Excellent,None,None,5.47,5.45,3.34,1,RD,2213,GIA,"true"
LD02716133,04/08/2012,2942,0.73,Ideal,F,SI2,61.6,56,Medium to Slightly Thick,Excellent,Excellent,None,None,5.8,5.78,3.57,1,RD,4030,GIA,"true"
LD02678715,13/07/2012,3557,0.7,Ideal,F,VS1,63,56,Medium to Slightly Thick,Very Good,Excellent,None,None,5.63,5.68,3.56,1.01,RD,5081,GIA,"true"
LD02759947,28/08/2012,6476,1.06,Ideal,H,SI1,61.3,57,Thin to Medium,Very Good,Very Good,None,None,6.58,6.55,4.02,1,RD,6109,GIA,"true"
LD02661284,01/07/2012,744,0.4,Very Good,E,SI1,64.2,57,Medium to Thick,Excellent,Excellent,None,None,4.68,4.62,2.99,1.01,RD,1860,GIA,"true"
LD02704435,27/07/2012,778,0.34,Ideal,E,VVS2,62,57,Medium to Slightly Thick,Excellent,Excellent,None,None,4.47,4.46,2.77,1,RD,2288,GIA,"true"
LD02760103,28/08/2012,1935,0.6,Ideal,G,SI1,60.4,59,Medium to Medium,Excellent,Excellent,None,None,5.45,5.47,3.3,1,RD,3225,GIA,"true"
LD02735387,16/08/2012,461,0.3,Very Good,F,VS1,62.8,57,Medium to Slightly Thick,Excellent,Excellent,None,Medium,4.28,4.3,2.69,1,RD,1537,GIA,"true"
LD02652663,01/07/2012,624,0.32,Ideal,E,VS2,62.1,57,Medium to Slightly Thick,Excellent,Excellent,None,Medium,4.39,4.36,2.72,1.01,RD,1950,GIA,"true"
