fetch_date,sku,price
30/06/2012,LD02659056,17178
30/06/2012,LD02632560,16512
30/06/2012,LD02656200,16649
30/06/2012,LD02659080,16944
30/06/2012,LD02659042,26477
30/06/2012,LD02632562,17183
30/06/2012,LD02660061,8238
30/06/2012,LD02659113,9797
30/06/2012,LD02617748,11197
30/06/2012,LD02656122,11164
30/06/2012,LD02658730,8739
30/06/2012,LD02609301,9506
30/06/2012,LD02650752,6160
30/06/2012,LD02659103,6846
30/06/2012,LD02659085,9505
30/06/2012,LD02656166,11837
30/06/2012,LD02656354,4916
30/06/2012,LD02640103,9348
30/06/2012,LD02659985,10412
30/06/2012,LD02642336,6307
30/06/2012,LD02658442,9126
30/06/2012,LD02656343,4061
30/06/2012,LD02659047,7202
30/06/2012,LD02658560,25451
30/06/2012,LD02658547,4953
30/06/2012,LD02659098,6840
30/06/2012,LD02658839,9341
30/06/2012,LD02659062,11147
30/06/2012,LD02660367,4632
30/06/2012,LD02641363,4960
30/06/2012,LD02626006,5286
30/06/2012,LD02656196,6694
30/06/2012,LD02656188,10759
30/06/2012,LD02660390,12030
30/06/2012,LD02659890,16979
30/06/2012,LD02660102,4812
30/06/2012,LD02659775,4858
30/06/2012,LD02660245,4049
30/06/2012,LD02656278,3100
30/06/2012,LD02659977,2452
30/06/2012,LD02658880,3200
30/06/2012,LD02628065,3619
30/06/2012,LD02658718,2089
30/06/2012,LD02622891,2985
30/06/2012,LD02590744,1227
30/06/2012,LD02622806,3338
30/06/2012,LD02656316,2220
30/06/2012,LD02659917,3009
30/06/2012,LD02595624,3048
30/06/2012,LD02622648,3227
30/06/2012,LD02660003,2467
30/06/2012,LD02656237,2734
30/06/2012,LD02659668,2963
30/06/2012,LD02659998,2969
30/06/2012,LD02659857,3033
30/06/2012,LD02660215,1363
30/06/2012,LD02660051,1775
30/06/2012,LD02659861,1452
30/06/2012,LD02660109,1888
30/06/2012,LD02650780,2124
30/06/2012,LD02613186,2530
30/06/2012,LD02582500,2710
30/06/2012,LD02659800,1773
30/06/2012,LD02660004,2699
30/06/2012,LD02659802,2051
30/06/2012,LD02659755,1567
30/06/2012,LD02659765,1265
30/06/2012,LD02659664,1745
30/06/2012,LD02659894,2338
30/06/2012,LD02635342,1397
30/06/2012,LD02650777,1590
30/06/2012,LD02633616,1407
30/06/2012,LD02635303,1518
30/06/2012,LD02660124,2023
30/06/2012,LD02658700,1056
30/06/2012,LD02631480,1254
30/06/2012,LD02622861,1261
30/06/2012,LD02659912,1311
30/06/2012,LD02659910,1421
30/06/2012,LD02622833,1438
30/06/2012,LD02660015,1694
30/06/2012,LD02659989,1872
30/06/2012,LD02659891,2385
30/06/2012,LD02635316,1298
30/06/2012,LD02635329,1212
30/06/2012,LD02590708,513
30/06/2012,LD02658537,753
30/06/2012,LD02622660,884
30/06/2012,LD02620821,1398
30/06/2012,LD02658654,827
30/06/2012,LD02658545,846
30/06/2012,LD02641540,882
30/06/2012,LD02146331,596
30/06/2012,LD02658657,576
30/06/2012,LD02658689,576
30/06/2012,LD02658777,683
30/06/2012,LD02658749,729
30/06/2012,LD02622797,612
30/06/2012,LD02622832,612
30/06/2012,LD02622791,672
30/06/2012,LD02660257,410
30/06/2012,LD02660171,421
